dat_key_hex,relative_path,dat_sha256,token_class,token,first_offset_hex,occurrences
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayCollisionOnOffClip,0x11AF6D,8
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayRaptureCallSchedulerClip,0x123897,2
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayRaptureEffectLoopOnOffClip,0x123D73,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayRaptureLoopOnOffClip,0x123DF4,2
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayRapturePointLightClip,0x12093B,7
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayRaptureWaitEndClip,0x123DDE,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LaySEClip,0x11AF83,12
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LaySEFadeOutClip,0x123DB7,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LaySetPosClip,0x11AF8D,8
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayTransformClip,0x11AF5C,10
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,clip_class,LayVFXClip,0x123853,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_c,0x124C7,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_f,0x124D7,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_f_set,0x124DD,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_l,0x127FF,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_l_set,0x12805,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_m,0x129D0,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_r,0x12819,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_r_set,0x1281F,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_se,0x12562,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw0,0x124F1,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw0_gmc2,0x12513,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw0_set,0x124F9,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw1,0x12533,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw1_gmc2,0x12555,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,grp_sw1_set,0x1253B,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_000032,0x1B236,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door01,0x1B162,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door02,0x1B16F,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door03,0x1B12E,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door04,0x1B17C,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door05,0x1B189,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_door06,0x1B196,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,ipomk_pos08,0x1B1A3,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_bg_d1_door_a1,0x124B4,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_bg_d1_door_a2,0x12612,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_bg_d1_door_e1,0x127EC,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_bg_d3_door_f1,0x129BD,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_gmc1-L,0x10BBF,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_gmc1-R,0x124A8,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_light01,0x12357,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_light02,0x120B7,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_light03,0x123E1,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_bri1_h,0x108D2,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_bri2_h,0x1070C,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_bri3_h,0x10998,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_dor1_h,0x10925,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_dor2_h,0x1244F,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_dor4_h,0x11ECD,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_gmc2_h,0x127D8,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_lmp2_h,0x10A17,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b0_lmp3,0x12ABF,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b1_dor1_h,0x10A67,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b1_dor1l_h,0x12754,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b1_dor1r_h,0x12796,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b1_lmp1_h,0x10CAD,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b3_box1l_h,0x12185,1
0x28D90006,data/28/D9/00/06.DAT,98bc9d3a0111de81a95b01a3e1c9a94453f51f11169634eea0c80f97d329b368,control_group,sgrp_r0d0_b3_box1s_h,0x121EC,1
